,Madrid,Barcelona,Valencia,Sevilla,Zaragoza,Málaga,Murcia,Palma,Las Palmas,Bilbao,Alicante,Córdoba,Valladolid,Vigo,Gijón,L'Hospitalet,Vitoria,A Coruña,Granada,Elche
Madrid,0,303,442,223,252,654,737,458,555,279,726,456,876,467,614,249,709,368,435,530
Barcelona,303,0,409,591,341,403,263,485,385,671,595,738,591,725,502,328,527,617,144,244
Valencia,442,409,0,430,273,639,471,152,709,335,178,574,383,281,387,624,310,480,240,683
Sevilla,223,591,430,0,619,431,617,629,754,124,534,630,713,295,491,245,630,295,501,478
Zaragoza,252,341,273,619,0,332,606,203,506,470,250,562,563,334,311,760,111,757,631,349
Málaga,654,403,639,431,332,0,392,306,432,606,539,401,234,449,709,520,317,192,549,271
Murcia,737,263,471,617,606,392,0,854,801,89,617,390,698,595,572,405,183,164,360,337
Palma,458,485,152,629,203,306,854,0,390,323,733,391,440,319,252,735,394,408,443,456
Las Palmas,555,385,709,754,506,432,801,390,0,671,395,200,684,206,423,792,423,614,241,185
Bilbao,279,671,335,124,470,606,89,323,671,0,305,534,406,842,475,516,778,579,483,864
Alicante,726,595,178,534,250,539,617,733,395,305,0,767,130,551,463,554,432,593,529,864
Córdoba,456,738,574,630,562,401,390,391,200,534,767,0,517,853,205,534,261,380,489,515
Valladolid,876,591,383,713,563,234,698,440,684,406,130,517,0,387,558,495,308,557,590,443
Vigo,467,725,281,295,334,449,595,319,206,842,551,853,387,0,183,171,438,445,417,678
Gijón,614,502,387,491,311,709,572,252,423,475,463,205,558,183,0,527,477,294,625,200
L'Hospitalet,249,328,624,245,760,520,405,735,792,516,554,534,495,171,527,0,466,664,188,437
Vitoria,709,527,310,630,111,317,183,394,423,778,432,261,308,438,477,466,0,761,655,752
A Coruña,368,617,480,295,757,192,164,408,614,579,593,380,557,445,294,664,761,0,369,634
Granada,435,144,240,501,631,549,360,443,241,483,529,489,590,417,625,188,655,369,0,798
Elche,530,244,683,478,349,271,337,456,185,864,864,515,443,678,200,437,752,634,798,0
